Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
jing fu 4you 13,Indica hybrid,Jiangxi,2010,7.9191,125.1,125.6,NA,2.46,81,29.8,140.2,3,113.6
nei 5you 8015,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,8.8065,133.1,122.2,26.8,2.415,80.8,32,157,3,126.856
zhun liang you 916,Indica hybrid,Jiangxi,2010,8.39955,124.9,123.5,NA,2.49,91.4,32.2,121.6,3.3,111.1
Tyou 5128,Indica hybrid,Jiangxi,2010,8.2263,125.5,127,NA,2.265,79.5,28.3,173.8,3.4,138.1
liang you 038,Indica hybrid,Jiangxi,2010,8.3379,122.6,124.1,NA,2.325,84.6,28,163.5,3.2,138.4
rong feng you 868,Indica hybrid,Jiangxi,2010,6.92565,110.1,90.4,NA,3.225,80.4,25.3,114.9,3.4,92.4
99you 468,Indica hybrid,Jiangxi,2010,6.87105,112.9,101.5,NA,2.67,71.7,26.4,143.3,3.6,102.7
zhong 9you 3385,Indica hybrid,Jiangxi,2010,7.2486,118.8,109.2,NA,2.655,78.2,27.5,137.1,3.4,107.2
tian feng you 101,Indica hybrid,Jiangxi,2010,7.24005,120,102.2,NA,2.85,75.4,29.2,124.8,3.3,94.1
qianliang you 4480,Indica hybrid,Jiangxi,2010,6.8979,113.4,102.3,NA,2.94,78.8,23.7,148.3,2.7,116.9
jin you H4,Indica hybrid,Jiangxi,2010,7.50075,118.9,101.1,NA,3.03,78.4,24,144.4,3.1,113.2
jin you 165,Indica hybrid,Jiangxi,2010,7.08495,111.9,100.4,NA,2.58,83.7,26.6,128,3.2,107.1
zhong 21you 691,Indica hybrid,Jiangxi,2010,7.1664,107,101.5,NA,2.94,79.4,26.6,126.2,3.3,100.2
you ��691,Indica hybrid,Jiangxi,2010,7.08075,107.6,97.4,NA,3.075,79.8,24.8,128.3,3,102.4
yue you 617,Indica hybrid,Jiangxi,2010,7.1964,112.7,94,NA,3.465,75.9,24.9,114.7,3.6,87.1
jia you 617,Indica hybrid,Jiangxi,2010,6.68715,111.2,107.8,NA,2.655,79.8,25.5,137.8,3.6,109.9
tian feng you 736,Indica hybrid,Jiangxi,2010,7.3179,119.8,97.3,NA,3.015,76.8,24.6,142.9,3.4,109.8
xie you zhou 48,Indica hybrid,Jiangxi,2010,7.3497,112.4,95.6,NA,3,82.8,23.6,128.9,3,106.7
xie you zhou 282,Indica hybrid,Jiangxi,2010,6.39315,111,94.2,NA,2.895,83.8,25.7,113.7,3.3,95.3
xin rong you 2498,Indica hybrid,Jiangxi,2010,6.789,111.9,95,NA,3.105,75.3,25.3,124.1,3.4,93.4
xin rong you 2660,Indica hybrid,Jiangxi,2010,7.4703,120,99.7,NA,3.03,76.2,24,144.5,3.4,110.1
tian jing 1 hao ,Japonica inbred,Sichuan,2010,10.692,167.7,89.4,16.8,4.92,85.5,24.2,NA,1.9,NA
tian liang you 31,Indica hybrid,Jiangxi,2010,7.46145,117.1,95.6,NA,3.33,77.9,24.8,119.4,3.6,93
jin you 107,Indica inbred,Hubei,2010,8.268375,165.4,101.6,23.2,2.8035,79.6,29.7,NA,3,109.7
le you 107,Indica inbred,Hubei,2010,8.32755,149.3,113.6,23.9,2.622,80.9,28.8,NA,3.1,117.7
shan you 306,Indica hybrid,Jiangxi,2010,6.7482,112,106.1,NA,2.895,77,26.5,127.4,2.8,98.1
yi feng you 3027xuan ,Indica hybrid,Jiangxi,2010,7.7496,118.7,100.5,NA,3.105,78.2,24.3,134.5,3.5,105.2
yi feng you 218,Indica hybrid,Jiangxi,2010,7.4979,120,102.8,NA,2.73,80.3,30.2,125.6,3,100.8
feng yuan you 24,Indica hybrid,Jiangxi,2010,7.65435,121.9,103.8,NA,2.91,77.6,27.3,133.2,2.9,103.3
zhong 9you 600,Indica hybrid,Jiangxi,2010,6.88995,114.4,109.9,NA,2.46,74.2,24.8,163.3,NA,121.2
zhu liang you 06,Indica hybrid,Hunan,2010,8.0154,108,85,NA,3.525,76.6,29.4,109.9,3,84.1834
ling liang you 21,Indica hybrid,Hunan,2010,7.89675,110,82.4,NA,3.345,77.4,26.7,115.4,2.8,89.3196
ling liang you 916,Indica hybrid,Hunan,2010,7.8087,111,88.7,NA,3.48,83.3,27,103.7,3,86.3821
zhong 3you 286,Indica hybrid,Hunan,2010,7.83975,111,87.7,NA,2.925,73,26.9,149.5,3.1,109.135
yang you 1 hao ,Indica hybrid,Hunan,2010,8.001,130,108.5,NA,2.355,83,29,155.5,3,129.065
ao liang you 76,Indica hybrid,Hunan,2010,8.1615,132.9,111.45,NA,2.265,85.2,28,164.8,3.2,140.4096
shang you 518,Indica hybrid,Hunan,2010,8.1195,128.9,111.5,22,2.355,79.9,30.1,146.5,3.2,117.0535
645you 238,Indica hybrid,Hunan,2010,8.5395,130,101,NA,2.55,83.5,28.1,140.5,2.9,117.2
Yliang you 792,Indica hybrid,Hunan,2010,8.8185,139,112,NA,2.34,85.4,29.3,153.7,NA,131.2598
Yliang you 696,Indica hybrid,Hunan,2010,8.4105,143,110.4,NA,2.625,87.8,27.5,163.4,3.3,143.4652
Cliang you 255,Indica hybrid,Hunan,2010,9.2955,139,116.6,NA,2.625,80.8,28.5,173.6,2.9,140.2688
Tyou 817,Indica hybrid,Hunan,2010,8.2905,141.3,119.7,NA,2.19,81.8,28.2,181.8,3.2,148.7124
T98you 1 hao ,Indica hybrid,Hunan,2010,8.706,NA,125,NA,2.4,77.3,29,200,3.2,154.6
chuan xiang you 727,Indica hybrid,Hunan,2010,8.4135,147,115,25,2.25,81.8,29.3,170,3,139.06
da liang 203,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.699,155.1,103.8,16.8,NA,86.1,25.8,145.3,NA,125.1033
xin dao 20 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.597,155.9,100.2,15.7,NA,89.8,25.2,133.9,NA,120.2422
zhong dao 1 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.474,153.5,104.4,17,NA,84.2,26.1,151,NA,127.142
da liang 202,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.444,153.4,97.7,16.9,NA,86.6,26.2,138.5,NA,119.941
jin jing 18,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.1365,153.6,91.1,16.6,3,86.1,24.8,141.8,NA,122.0898
jin jing you 132,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.8295,161.8,105.4,18.4,2.7,80.4,27.3,134.5,NA,108.138
liang jing 5 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,10.839,157.9,102.4,NA,NA,80.5,26.3,125.6,NA,101.108
song liao 7 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.6375,152.5,97.7,16.9,NA,84.2,26.1,109.9,NA,92.5358
long yang 1 hao ,Japonica inbred,Heilongjiang,2010,8.7388,NA,105,22,NA,NA,27,NA,NA,NA
long dao 10 hao ,Japonica inbred,Heilongjiang,2010,8.7973,NA,92,21,NA,NA,26.5,NA,NA,NA
long dao 11 hao ,Japonica inbred,Heilongjiang,2010,8.9151,NA,107.4,19.6,NA,NA,25.5,NA,NA,NA
long dong 107,Japonica inbred,Heilongjiang,2010,8.404,NA,96.4,17.4,NA,NA,25.4,NA,NA,NA
zao xian118,Indica inbred,Anhui,2010,7.53,106,89,NA,3.9,82,25,95,NA,77.9
zhun liang you 199,Indica hybrid,Hunan,2010,8.99475,125.5,114,NA,2.3925,83.5,30.3,159.5,3,133.1825
mu dan jiang 31,Japonica inbred,Heilongjiang,2010,8.9141,NA,100.4,17.7,NA,NA,25.5,NA,NA,NA
sui jing 13,Japonica inbred,Heilongjiang,2010,8.3578,NA,89.8,18.1,NA,NA,25.5,NA,NA,NA
bei 04-20,Japonica inbred,Heilongjiang,2010,8.4358,NA,108.8,20.9,NA,NA,26.5,NA,NA,NA
long lian 1 hao ,Japonica inbred,Heilongjiang,2010,8.3189,NA,91.6,16.5,NA,NA,25.4,NA,NA,NA
song jing 13 hao ,Japonica inbred,Heilongjiang,2010,8.2473,NA,93.1,16,NA,NA,23.3,NA,NA,NA
long jing 29 hao ,Japonica inbred,Heilongjiang,2010,8.6629,NA,89.4,16.6,NA,NA,26.2,NA,NA,NA
lian hui 1 hao ,Japonica inbred,Heilongjiang,2010,9.4944,NA,82,16.6,NA,NA,26,NA,NA,NA
miao xi 918-4,Japonica inbred,Heilongjiang,2010,7.5038,NA,104,19.6,NA,NA,26,NA,NA,NA
long xiang dao 2 hao ,Japonica inbred,Heilongjiang,2010,9.1334,NA,110,21.7,NA,NA,26,NA,NA,NA
long hua 04-050,Japonica inbred,Heilongjiang,2010,8.4291,NA,90,16.8,NA,NA,27.6,NA,NA,NA
jia he 1 hao ,Japonica inbred,Heilongjiang,2010,7.4637,NA,94,19.5,NA,NA,27,NA,NA,NA
zao xian615,Indica inbred,Anhui,2010,7.62,106,87,NA,3.75,81,25,104,NA,84.24
nong xiang you 204,Indica hybrid,Hunan,2010,8.0889,127,120,NA,2.25,79,28,170,3.1,134.3
Hyou 159,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.872,111.4,100,24,3.12,82.2,27.1,124.2,3.3,102.0924
zi you 072,Indica hybrid,Hunan,2010,6.70815,110,100,NA,2.955,75.8,30,113.7,2.9,86.1846
shen you 9588,Indica hybrid,Hunan,2010,7.55385,108,95,NA,3.165,85.5,26.2,118.6,2.6,101.403
jin you 498,Indica hybrid,Hunan,2010,7.6089,110.1,112.5,NA,2.895,78.1,27.3,143.9,3.2,112.3859
jin you 238,Indica hybrid,Hunan,2010,7.6251,108.6,102,NA,2.985,78.4,26.7,135,3.1,105.84
jin you 59,Indica hybrid,Hunan,2010,6.3657,110,110,NA,3,84,26.8,123,3.1,103.32
Yliang you 624,Indica hybrid,Hunan,2010,7.6794,118,112,NA,2.82,79.8,27.2,149.6,3,119.3808
jin bo you 168,Indica hybrid,Hainan,2010,6.23325,121.5,109.3,22.8,2.3835,76.9,24.2,154.7,NA,118.9643
rui feng you 616,Indica hybrid,Hainan,2010,5.94705,118,105.9,24.1,2.658,71.6,25.4,129.2,NA,92.5072
Yliang you 865,Indica hybrid,Hainan,2010,6.47205,116.5,109.9,25.5,2.796,68.4,23.7,155.1,NA,106.0884
bo ��you 4671,Indica hybrid,Hainan,2010,6.2277,122,101.5,22.5,2.559,85.3,25.6,124.6,NA,106.2838
bo ��you 329,Indica hybrid,Hainan,2010,6.4413,123,107.9,22.7,2.415,79.2,22.3,152.5,NA,120.78
hua you 329,Indica hybrid,Hainan,2010,6.23445,116.5,108.1,23.9,2.619,78.4,24,142.6,NA,111.7984
bo you 506,Indica hybrid,Hainan,2010,6.0999,123,111.7,21.7,2.5185,78.5,23.2,140.5,NA,110.2925
bo ��you 177,Indica hybrid,Hainan,2010,6.25935,121.5,105.1,22.9,2.2695,83.4,23.2,162.2,NA,135.2748
wan jin you 802,Indica hybrid,Hainan,2010,6.0168,124.5,106.1,22.6,NA,73.1,24.3,138.6,NA,101.3166
gang you 6368,Indica hybrid,Henan,2010,8.5875,150,130.5,NA,2.085,83.7,30.8,175.5,NA,146.8935
gang you 737,Indica hybrid,Henan,2010,9.1455,151,127.7,NA,2.085,81.6,30.6,NA,NA,NA
xiu shui 137,Japonica inbred,Shanghai,2010,8.7195,156.9,96.8,NA,NA,NA,NA,124.5,NA,NA
hai feng 1 hao ,Japonica inbred,Shanghai,2010,7.6695,153,NA,NA,NA,NA,NA,NA,NA,NA
jia pu you 608,Japonica hybrid,Shanghai,2010,10.4115,159.3,106.7,18.6,NA,NA,NA,NA,NA,NA
shang shi da 5 hao ,Japonica inbred,Shanghai,2010,7.776,150,102,NA,NA,91.2,22,185,NA,168.72
meng liang you 838,Indica hybrid,Guangxi,2010,7.1523,115,108.9,22.8,2.82,83.6,NA,122.7,3.5,102.5772
xiang you 8817,Indica hybrid,Guangxi,2010,6.5862,113,90.6,20.3,3.225,80.1,27.7,108.8,3,87.1488
Tyou 682,Indica hybrid,Guangxi,2010,8.66445,123,117.7,23.9,2.67,79.6,27.7,154.3,3.6,122.8228
yi you hang 1 hao ,Indica hybrid,Guangxi,2010,8.06625,127,118.3,23.9,2.475,86.8,27.1,147,2.5,127.596
te you 165,Indica hybrid,Guangxi,2010,7.8375,122,110.3,23.4,2.595,82.8,28.4,144.6,2.2,119.7288
te you 6603,Indica hybrid,Guangxi,2010,7.8396,126,115.6,22.3,2.415,85.3,29.5,135.5,2,115.5815
li feng you 5059,Indica hybrid,Guangxi,2010,8.05395,125,125.4,23.9,2.49,84.4,27.9,147.2,2.4,124.2368
te you 590,Indica hybrid,Guangxi,2010,7.9041,123,106.9,22.4,2.715,85.1,24.9,148.5,3,126.3735
xin feng you 008,Indica hybrid,Guangxi,2010,7.872,125,106.6,25.5,2.715,79.9,27.9,138.7,3.3,110.8213
liang you 2887,Japonica hybrid,Yunnan,2010,9.405,171,100,19,3.825,80,23,NA,2.1,140
dian za 37,Japonica hybrid,Yunnan,2010,11.049,171,98.4,21.6,3.345,NA,26.8,NA,2,125
yu jing 11 hao ,Japonica inbred,Yunnan,2010,10.08,181,94.1,NA,4.6305,79.48,25.79,NA,1.9,75.9
yun jing 19 hao ,Japonica inbred,Yunnan,2010,8.7825,182.6,91.9,17,4.32,71.4,24.5,NA,1.8,84.3
zhun liang you 5 hao ,Indica hybrid,Guangxi,2010,7.8516,124,113.1,23.6,2.52,86,31.4,127.5,3.1,109.65
feng dao 23 hao ,Japonica inbred,Yunnan,2010,9.9015,182,93.4,18.2,4.8,NA,25.6,NA,1.7,85.5
li jing 11 hao ,Japonica inbred,Yunnan,2010,10.0455,182,98.3,19.4,3.9,NA,24.2,NA,1.8,112
te you 6811,Indica hybrid,Guangxi,2010,7.824,120,108.6,21.6,2.4,83.9,25.3,164,2.2,137.596
shuang dong 5 hao ,Indica inbred,Yunnan,2010,7.6005,159,105.5,21.4,2.865,73,26.3,NA,3.2,100
chu jing 31 hao ,Japonica inbred,Yunnan,2010,10.194,178,98.9,NA,4.56,82,26.3,NA,1.9,82
sheng you 988,Indica hybrid,Guangxi,2010,7.4277,116,111.9,25.8,2.64,79.8,24.6,156.1,3,124.5678
jing jing 16 hao ,Japonica inbred,Yunnan,2010,10.185,184,96.3,NA,4.7955,74.4,24.6,NA,1.8,79
jing jing 17 hao ,Japonica inbred,Yunnan,2010,10.545,183,103.6,NA,4.1505,75.6,27.1,NA,1.8,86
ling liang you 711,Indica hybrid,Guangxi,2010,7.04295,115,114.5,23.1,2.565,76.7,27.4,136,3.2,104.312
bo you 6811,Indica hybrid,Guangxi,2010,6.88005,115,116.1,22.5,2.325,84.6,21.6,175,2.4,148.05
shuang dong 6 hao ,Indica inbred,Yunnan,2010,6.2385,161,120.9,23.4,2.94,61.9,24.3,NA,3.2,NA
hong you 6 hao ,Indica inbred,Yunnan,2010,7.3935,164,113,26,2.94,70.4,33.9,NA,3.3,NA
hui jing 10 hao ,Japonica inbred,Yunnan,2010,10.545,183,98.7,18.8,4.17,70.9,24.4,NA,1.8,105
dian you 35,Japonica hybrid,Yunnan,2010,10.1265,171,95,NA,3.57,75,24.6,NA,2.2,NA
guang xian2 hao ,Indica inbred,Yunnan,2010,7.05,161,110.5,23.7,2.67,70.3,29.9,NA,3.2,101.1
bo you 782,Indica hybrid,Guangxi,2010,7.4556,119,106,23.1,2.625,85.4,21.1,164.6,2.5,140.5684
bo you 1652,Indica hybrid,Guangxi,2010,7.0926,117,111.9,23.9,2.595,88.5,22.7,144.4,2.4,127.794
bo you 820,Indica hybrid,Guangxi,2010,7.4736,116,113.2,24.3,2.445,90,24.8,146.4,2.6,131.76
jing jing 18 hao ,Japonica inbred,Yunnan,2010,9.0975,188,107,20.5,3.405,72.3,26.6,NA,1.7,101
zhen you 1993,Indica hybrid,Guangdong,2010,7.5555,118.5,110.6,22.6,2.4975,80,24.8,155.5,2.8,124.4
bo you 2155,Indica hybrid,Guangdong,2010,6.84,115,117.6,23.55,2.7975,83.05,24.5,135,2.65,112.1175
lan you 7 hao ,Indica hybrid,Guangdong,2010,7.059,119.5,118.4,25,2.7,81.6,23.95,140,3.7,114.24
tian you hang qi ,Indica hybrid,Guangdong,2010,7.329,113.5,105,20.15,NA,82.95,25.1,154,3.25,127.743
jian you G2,Indica hybrid,Guangdong,2010,7.1325,106.5,100.4,21.2,2.895,76.1,22.35,154.5,3.25,117.5745
jian you 795,Indica hybrid,Guangdong,2010,6.981,109.5,106.95,21.9,2.49,80.15,24.35,156.5,2.95,125.43475
shuang you 2009,Indica hybrid,Guangdong,2010,7.182,110,99.65,23.85,2.5425,78.5,26.5,148,3.35,116.18
tian you 2352,Indica hybrid,Guangdong,2010,7.3605,109.5,106.9,21.8,2.49,80.1,25.2,154,2.8,123.354
qi gui you 306,Indica hybrid,Hainan,2010,7.42755,126.5,99.4,22.7,3.0105,85.5,19.8,182.9,NA,156.3795
tai feng you 128,Indica hybrid,Guangdong,2010,7.029,108.5,102.5,22.6,2.985,82.8,24.4,126,3.85,104.328
ju liang you 751,Indica hybrid,Guangdong,2010,7.0755,112.5,98.4,23.45,2.895,81.05,22.85,146,3.5,118.333
chang jing 11 hao ,Japonica inbred,Yunnan,2010,8.55,171.1,119.1,18.4,3.12,89.4,24.6,NA,1.7,116.3
chang jing 12 hao ,Japonica inbred,Yunnan,2010,9.36,176.8,NA,18.4,3.345,81.4,21.4,NA,1.7,133
bi jing 43 hao ,Japonica inbred,Guizhou,2010,8.553,161.7,90.4,NA,3.651,84.2,26.3,NA,NA,123.5
bi jing za 2035,Japonica hybrid,Guizhou,2010,7.608,166.2,87.9,NA,3.27,72.3,24.7,NA,NA,175.1
yi xiang you 7633,Indica hybrid,Sichuan,2010,7.4829,153.4,119.3,27.4,1.86,77.3,28.1,NA,3.3,NA
chuan xiang you 198,Indica hybrid,Sichuan,2010,8.7906,152.8,120.6,25.3,2.175,78.4,28.6,NA,2.6,NA
yi xiang you 2168,Indica hybrid,Sichuan,2010,8.06085,145.8,112,25.2,2.31,81.8,28.7,NA,2.8,NA
yi xiang you 7808,Indica hybrid,Sichuan,2010,8.72415,152.4,117,25.9,2.265,79,29.6,NA,2.7,NA
le feng you 329,Indica hybrid,Sichuan,2010,8.65095,151.1,114.2,24.8,1.86,82.8,28,NA,2.8,NA
mian 5you 5240,Indica hybrid,Sichuan,2010,8.03895,153.3,119.5,25.2,2.4,80.6,29.3,NA,3,NA
rong 18you 447,Indica hybrid,Sichuan,2010,8.27805,150.2,121.9,24.9,2.25,80.5,29.5,NA,2.9,NA
tian long 8you 177,Indica hybrid,Sichuan,2010,8.3931,147.7,110.9,26.5,2.175,82.9,27.4,NA,2.8,NA
chuanzuo6you 177,Indica hybrid,Sichuan,2010,8.34225,146.5,107.7,25,2.205,82.4,27.3,NA,2.6,NA
rui you 425,Indica hybrid,Sichuan,2010,7.62495,158.1,90.2,24.5,2.265,76.4,29.1,NA,2.7,NA
ning jing 44 hao ,Japonica inbred,Ningxia,2010,12.75195,153,101.2,NA,6.45,85.9,22.4,NA,1.8,NA
he you 66,Indica hybrid,Sichuan,2010,7.61205,159.4,92.9,24.1,2.31,76.2,28.5,NA,2.9,NA
nuo you 100,Indica hybrid,Sichuan,2010,7.78905,146.3,122.1,26.2,2.1,80.4,29.5,NA,2.3,NA
chang bai 23,Japonica inbred,Jilin,2010,8.6936,130,96.3,17.4,3.885,91.6,23.4,NA,1.9,NA
tong yu 406,Japonica inbred,Jilin,2010,8.7583,130,105.7,19.4,3.375,88.2,26,NA,1.8,NA
ji nong da 45,Japonica inbred,Jilin,2010,8.6318,130,102,17.5,3.465,87.3,25.9,NA,1.7,NA
dong dao 4 hao ,Japonica inbred,Jilin,2010,8.4804,131,99.5,18.6,3.6,92.2,28.6,NA,1.7,NA
chang bai 24 hao ,Japonica inbred,Jilin,2010,7.9905,130,101.6,16.1,NA,91.4,24.1,NA,1.8,NA
ji nong da 828,Japonica inbred,Jilin,2010,8.5307,135,98.9,20,3.57,90.8,25.2,NA,1.6,NA
song liao 6 hao ,Japonica inbred,Jilin,2010,8.7115,137,100,19.5,NA,93.2,24,NA,1.9,NA
tong jing 889,Japonica inbred,Jilin,2010,8.2204,136,101.1,19.4,NA,90.6,26.2,NA,1.8,NA
tong yuan 515,Japonica inbred,Jilin,2010,9.1217,142,116.7,23.1,NA,83.3,22.8,NA,1.7,NA
ji nong da 838,Japonica inbred,Jilin,2010,9.0537,141,101.6,19.6,NA,91.6,26.5,NA,1.7,NA
tong xi 930,Japonica inbred,Jilin,2010,9.0635,141,105.6,21.6,NA,88.3,28.8,NA,1.8,NA
ji jing 509,Japonica inbred,Jilin,2010,8.9513,141,101.4,18.2,NA,89.1,25.2,NA,1.8,NA
tong yu 238,Japonica inbred,Jilin,2010,8.9788,141,104.6,17.6,3.06,88.9,27.7,NA,1.8,NA
tong he 856,Japonica inbred,Jilin,2010,8.9515,141,100.4,20.6,NA,92.2,27.5,NA,1.8,NA
tong ke 17,Japonica inbred,Jilin,2010,9.2404,141,100,18.7,NA,83.4,24.6,NA,1.7,NA
ke yu 47,Japonica inbred,Jilin,2010,8.9285,140,100.7,20.4,NA,92.7,29.4,NA,1.8,NA
ji ke dao 512,Japonica inbred,Jilin,2010,8.7914,141,111,19.8,NA,89.5,25,NA,2.1,NA
qing lin 1,Japonica inbred,Jilin,2010,8.8948,142,95.4,19.5,3.21,86.9,28,121.7,1.8,105.7573
tong he 857,Japonica inbred,Jilin,2010,9.0651,147,91.1,15.5,NA,86,26.7,NA,1.8,NA
ji xing jing dao 18,Japonica inbred,Jilin,2010,8.7688,146,113.8,18.6,4.02,85.5,23.6,NA,1.7,NA
ping an jing dao 11,Japonica inbred,Jilin,2010,8.7137,145,94.2,15.1,3.66,92.2,22.6,NA,2.1,NA
tong dao 1,Japonica inbred,Jilin,2010,8.7331,146,105.3,18.8,NA,91.1,26.1,NA,1.7,NA
jiu dao 69 hao ,Japonica inbred,Jilin,2010,8.886,145,105,21.8,NA,90,26.6,NA,1.9,NA
tong yu 245,Japonica inbred,Jilin,2010,8.7757,146,114.6,18.4,4.305,88.3,26.4,NA,1.9,NA
tong zhan 11,Japonica inbred,Jilin,2010,9.0148,138,94.3,16.9,NA,85.2,25.6,NA,1.7,NA
tong he 839,Japonica inbred,Jilin,2010,8.1813,145,100.4,16.7,NA,87.5,24,NA,NA,NA
jun you 522,Indica hybrid,Hubei,2010,8.32875,159.2,94.9,22.5,2.664,81.4,26.9,NA,3,120.6
yi xiang you 208,Indica hybrid,Hubei,2010,7.73325,143.2,112.1,25.4,2.637,76.8,29.3,NA,3.2,102.1
quan you 5138,Indica hybrid,Hubei,2010,7.8879,148.1,113.5,23.6,2.607,81.4,28.3,141.6,2.6,115.3
ling liang you 472,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,8.2185,113.6,115.3,24.5,2.46,83.5,29,143.8,3.2,120.073
ling liang you 211,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.6335,109.8,79.8,18.7,3.51,82.9,26.3,105.8,3,87.7082
nei 5you 317,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.1665,159,117,26,2.265,79.7,30.9,172.9,2.8,137.8013
yu you 7109,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.171,159.6,113.9,26,2.475,76.4,26.7,193.3,2.8,147.6812
xin liang you 223,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,8.9025,134.4,129.9,25.7,2.385,81.1,29.5,176.5,2.9,143.1415
xin liang you 343,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.213,134.2,128.5,24.2,2.325,80.5,28.5,187.8,2.8,151.179
fu you 21,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.644,115.1,115.2,23.7,2.52,82.8,27.7,159.1,2.2,131.7348
xin liang you 901,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.6155,115.8,118.2,22.9,2.49,78.7,27.3,171.7,3,135.1279
feng yuan you 358,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.4535,118.3,106.8,23.2,2.7,77.6,30.5,123.9,3,96.1464
xin rong you 2984,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,7.5045,119,113,22,2.865,77.5,24.6,150.1,2.7,116.3275
zhong jing you 15 hao ,Japonica hybrid,Tianjin,2010,10.9335,169,118.8,20.3,2.505,88.7,26.3,192.6,2.2,170.8362
chuan gu you 202,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.2415,148,117.3,26,2.535,78.9,30,157.2,3.2,124.0308
gu you 627,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.1575,147.8,116.1,23.8,2.865,80.4,28.5,141.1,2.6,113.4444
chuan you 5108,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2010,9.138,147.8,116.9,23.9,2.43,84.3,28.4,153.5,2.6,129.4005
zhu liang you 18,Indica hybrid,Anhui,2010,7.71,107,94,NA,3.75,82,25,NA,NA,NA
xin dao 28 hao ,Japonica inbred,Xinjiang,2010,11.31855,NA,NA,19.25,5.343,86.76,23.25,157.5,NA,136.64
��you 8 hao ,Indica hybrid,Anhui,2010,9.525,136,120,NA,2.4,85,28,NA,NA,NA
fu feng you 6 hao ,Indica hybrid,Anhui,2010,9.27,137,120,NA,2.55,84,27,NA,NA,NA
tian liang you 6 hao ,Indica hybrid,Anhui,2010,8.97,137,126,NA,2.25,82,28,NA,NA,NA
fu you 155,Indica hybrid,Anhui,2010,9.555,138,122,NA,2.4,83,29,NA,NA,NA
xin long you 9 hao ,Indica hybrid,Anhui,2010,9.555,138,123,NA,2.55,83,28,NA,NA,NA
liang you 602,Indica hybrid,Anhui,2010,9.57,134,125,NA,2.4,86,31,NA,NA,NA
tian liang you 0501,Indica hybrid,Anhui,2010,9.27,137,122,NA,NA,78,30,NA,NA,NA
feng liang you 80,Indica hybrid,Anhui,2010,9.495,135,128,NA,2.25,80,27,NA,NA,NA
��you 30,Indica hybrid,Anhui,2010,9.42,138,125,NA,2.4,86,28,NA,NA,NA
feng you 512,Indica hybrid,Anhui,2010,9.315,134,117,NA,2.55,84,29,NA,NA,NA
��you 346,Indica hybrid,Anhui,2010,9.435,135,128,NA,2.25,85,28,NA,NA,NA
nong feng you 1671,Indica hybrid,Anhui,2010,9.255,136,115,NA,2.25,83,29,NA,NA,NA
fu you 136,Indica hybrid,Anhui,2010,9.24,138,125,NA,2.4,83,29,NA,NA,NA
ming liang you 6 hao ,Indica hybrid,Anhui,2010,8.73,133,122,NA,2.4,85,26,NA,NA,NA
kai you 10 hao ,Indica hybrid,Anhui,2010,9.48,136,125,NA,2.4,85,28,NA,NA,NA
��you 009,Indica hybrid,Anhui,2010,8.745,135,125,NA,2.25,81,26,NA,NA,NA
��you 08,Indica hybrid,Anhui,2010,8.445,136,128,NA,2.4,80,27,NA,NA,NA
jin you T16,Indica hybrid,Guizhou,2010,9.55905,157.4,111,NA,2.355,80.9,29.2,NA,3,138.2
