Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
shuang cong 169-1,Indica inbred,Guangdong,1987,6.4725,127,97.5,18,3.45,84.45,25,97.5,NA,82.33875
han 9,Japonica inbred,Jilin,1987,4.3093,125,92.7,19,NA,NA,NA,NA,NA,NA
yun jing 219,Japonica inbred,Yunnan,1987,7.59,178,105,18,NA,NA,29,NA,NA,97
04-1267,Japonica inbred,Yunnan,1987,8.19,170,95,NA,NA,NA,25.5,NA,NA,NA
yun dong tian 02,Japonica inbred,Yunnan,1987,7.4115,165,95,NA,NA,NA,26.5,NA,NA,NA
jin dao 1187,Japonica inbred,Tianjin,1987,7.5,167.5,105.5,17,NA,NA,26.5,NA,NA,NA
shan you 85,Indica hybrid,Zhejiang,1988,6.76425,NA,NA,NA,NA,NA,NA,NA,NA,NA
te qing 2 hao ,Indica inbred,Guangdong,1988,5.802,140,97.5,19,2.805,77.9,25,NA,NA,118.6
ning jing 9 hao ,Japonica inbred,Ningxia,1988,11.4984,150,87.5,NA,NA,NA,26,NA,NA,NA
ai qing 32,Indica inbred,Shanghai,1988,5.6325,110,NA,NA,NA,NA,NA,NA,NA,NA
chu jing 2 hao ,Japonica inbred,Yunnan,1988,7.5,166.5,87.5,18.25,NA,NA,26,NA,NA,NA
wu xiang jing 1 hao ,Japonica inbred,Shanghai,1988,6.9555,150,100,17,NA,NA,27,NA,NA,NA
guang ke 36 hao ,Indica inbred,Guangdong,1988,6.321,123,96.5,18.4,3.285,86.6,27.3,NA,NA,NA
ning jing 10 hao ,Japonica inbred,Ningxia,1988,9.59175,136,77.5,12,NA,NA,25,NA,NA,NA
liao jing 287,Japonica inbred,Liaoning,1988,7.54425,160,92.5,NA,NA,NA,NA,NA,NA,NA
