panicle,growth,yield
3.525,131.0,8.4818
3.42,132.0,8.4724
2.865,131.0,8.9488
3.51,135.0,8.5232
3.585,136.0,8.7952
3.72,136.0,9.0229
3.315,138.0,8.3902
3.645,135.0,9.0009
3.24,136.0,8.6674
3.54,137.0,8.582
3.435,141.0,8.8234
3.66,141.0,8.8155
3.285,141.0,8.7549
3.93,140.0,8.7446
3.78,142.0,8.8583
3.975,140.0,8.6379
3.135,140.0,8.6535
3.84,138.0,8.5959
3.06,142.0,8.9297
3.405,141.0,8.9115
3.585,142.0,8.6711
3.27,145.0,8.6269
3.375,145.0,9.179
3.15,146.0,8.7813
3.285,161.0,9.696
2.73,163.0,8.48655
3.405,147.0,9.0227
3.075,157.0,9.963
3.06,156.8,9.5655
3.36,154.6,10.377
3.135,153.0,10.1745
3.015,160.0,10.431
3.18,158.0,9.9435
3.135,123.4,7.7097
3.375,124.0,8.25405
3.42,124.8,8.18985
3.105,158.0,10.2345
2.7525,161.5,9.7935
3.21,156.7,10.0395
3.6,151.7,10.044
3.225,131.0,8.757
3.48,131.0,8.6164
3.195,138.0,8.6188
3.12,139.0,9.0404
2.925,141.0,9.1985
3.84,142.0,8.9764
3.285,142.0,8.9815
3.27,142.0,9.0567
3.285,141.0,9.1305
3.285,143.0,9.1378
3.87,145.0,9.2273
3.42,145.0,9.2528
3.54,146.0,9.1132
4.245,124.0,7.4495
4.995,127.0,7.5259
4.368,174.5,10.158
4.452,173.6,10.539
4.26,187.4,9.8325
3.885,191.5,9.6405
4.0875,190.0,9.06
3.27,152.5,9.6765
3.33,153.0,10.6425
3.1425,158.6,9.477
4.095,143.0,7.7234
3.045,156.9,10.0035
3.9,129.0,9.765
2.985,131.0,8.2275
3.045,160.0,9.9375
3.075,159.8,9.3825
2.91,160.3,9.306
3.09,157.0,9.453
4.83,154.3,10.5447
3.21,161.6,9.4815
3.09,157.3,10.4985
3.96,131.0,8.5676
3.51,136.0,8.6932
3.27,137.0,8.6099
3.345,137.0,8.6741
3.51,136.0,8.5983
3.66,142.0,9.1656
3.51,140.0,9.1384
3.12,143.0,9.0342
3.42,140.0,8.7775
3.525,145.0,9.0354
3.63,132.0,9.18
3.345,136.0,9.42
3.285,132.0,9.12
3.45,129.0,9.3075
3.66,158.0,9.705
3.735,158.0,9.9405
3.225,150.0,8.997
4.1475,187.9,10.5225
4.536,171.0,10.53
4.5615,166.0,10.125
5.025,173.5,11.19
3.03,154.6,9.726
3.21,157.1,9.885
3.015,157.7,9.9345
3.375,155.0,9.6645
3.393,146.9,9.9735
3.15,150.0,10.293
3.285,159.8,10.11375
3.3705,147.5,9.939
3.345,147.9,9.759
3.1275,159.5,9.867
3.06,154.0,8.556
2.835,153.0,8.4
